"","id","clicks","cond","week"
"2",680891,82,"B",1
"7",772108,37,"A",1
"8",506526,19,"B",1
"9",466699,12,"A",1
"10",214443,14,"B",1
"12",880651,5,"B",1
"14",128310,44,"B",1
"15",855241,9,"A",1
"20",426325,25,"B",1
"21",929551,46,"A",1
"23",538554,3,"A",1
"24",273296,19,"B",1
"27",156134,1,"A",1
"31",935517,3,"A",1
"32",956630,41,"B",1
"35",588195,12,"A",1
"36",310081,2,"B",1
"38",634414,4,"B",1
"39",319390,6,"A",1
"42",426249,2,"B",1
"44",839735,20,"B",1
"45",879099,32,"A",1
"46",521763,8,"B",1
"48",582733,19,"B",1
"51",169142,5,"A",1
"52",957924,4,"B",1
"53",577595,20,"A",1
"55",582873,6,"A",1
"57",566581,19,"A",1
"58",526445,14,"B",1
"60",144407,15,"B",1
"64",135734,17,"B",1
"65",925658,20,"A",1
"67",278890,37,"A",1
"70",570613,22,"B",1
"71",506979,7,"A",1
"72",513197,32,"B",1
"74",848802,21,"B",1
"77",404308,22,"A",1
"83",588728,25,"A",1
"89",987380,10,"A",1
"92",467967,33,"B",1
"93",826530,13,"A",1
"95",227021,22,"A",1
"96",519631,65,"B",1
"97",352961,4,"A",1
"98",244565,8,"B",1
"100",417387,27,"B",1
"104",607258,22,"B",1
"107",382894,10,"A",1
"110",673750,51,"B",1
"111",698048,21,"A",1
"114",400572,13,"B",1
"115",311779,16,"A",1
"117",523467,53,"A",1
"119",237767,18,"A",1
"122",179836,21,"B",1
"123",500965,14,"A",1
"124",972798,1,"B",1
"125",324160,12,"A",1
"126",803353,21,"B",1
"127",710884,33,"A",1
"129",441764,18,"A",1
"130",956770,11,"B",1
"131",477059,6,"A",1
"132",851624,41,"B",1
"133",353313,24,"A",1
"134",630412,22,"B",1
"135",738653,15,"A",1
"136",819881,31,"B",1
"137",663729,31,"A",1
"138",578182,53,"B",1
"140",369712,20,"B",1
"141",196739,38,"A",1
"143",732739,3,"A",1
"144",473748,7,"B",1
"145",923777,12,"A",1
"146",825684,3,"B",1
"147",320037,10,"A",1
"148",247151,22,"B",1
"150",743189,10,"B",1
"151",140582,11,"A",1
"155",347293,4,"A",1
"158",889124,31,"B",1
"159",256045,4,"A",1
"162",480475,5,"B",1
"164",779483,2,"B",1
"165",668780,34,"A",1
"166",888249,70,"B",1
"167",818112,35,"A",1
"168",450890,54,"B",1
"170",211593,18,"B",1
"171",244179,10,"A",1
"173",300544,30,"A",1
"177",274139,46,"A",1
"179",965274,47,"A",1
"181",875548,34,"A",1
"182",519873,16,"B",1
"184",640849,28,"B",1
"185",611457,20,"A",1
"186",400767,13,"B",1
"187",395844,37,"A",1
"188",220701,23,"B",1
"190",506565,15,"B",1
"196",250507,19,"B",1
"201",804332,13,"A",1
"202",130991,34,"B",1
"204",521278,32,"B",1
"209",288021,49,"A",1
"210",754519,27,"B",1
"215",675783,39,"A",1
"216",538346,3,"B",1
